MdB_Schmidtke;11004879
NAltenkamp;11004655
AloisRainer;11001769
m_schieder;11003838
kdgroehler;11004281
charlotte_mdb;11004951
GZickenheiner;11004946
VriesChristoph;11004926
juergen_martens;11004816
thorsten_frei;11004276
HohmannMdb;11003152
MPatzeltCDU;11004372
DagmarFreitag13;11002655
ElisabethMotsc1;11004357
MichaelHennric2;11003551
StegemannAlbert;11004415
gitta_connemann;11003514
ruetzelbernd;11004392
FechnerJohannes;11004270
SusanneFerschl;11004715
MaagKarin;11004104
EckhardGnodtke;11004729
HoffmannForest;11004757
DHeidenblut;11004295
AntjeTillmann;11003646
BerndWestphal4;11004442
ClaudiaMollMdB;11004825
nicole_ae_bauer;11004661
_ThomasRachel;11002754
wiebkeesdar1;11004710
n_roettgen;11002765
FahimiYasmin;11004713
jessica_tatti;11004911
DaniLudwigMdB;11003613
MarjaVoellers;11004942
DrRobbySchlund;11004875
mseesternpauly;11004890
WolfgangWiehle;11004933
RenataAlt_MdB;11004654
BrittaDassler;11004700
HerbrandMarkus;11004745
DrHollnagel;11004760
MdBKlein;11004780
NicoleWestig;11004931
ulrichlechte;11004799
ManuelaRottman;11004866
theliberalfrank;11004834
aggelidis_fdp;11004652
_MartinNeumann;11004120
bhoffmann_mdb;11004756
GeroHocker;11004754
MdB_Mueller_AfD;11004831
JoernKoenigAfD;11004788
DjirSarai;11004029
KatjaKeul;11004067
FrStraetmanns;11004907
k_willkomm;11004783
KirstenKappert;11004773
TillMansmann;11004815
Erhard_Grundl;11004733
SilberhornMdB;11003636
JudithSkudelny;11004159
Mi_Muentefering;11004359
Jacobi_AfD;11004767
margit_stumpp;11004909
MdB_Schreiber;11004882
Frank_Magnitz;11004810
EstherDilcher;11004701
KatjaMast;11003804
MBiadaczMdB;11004673
busen_mdb;11004690
G_UllrichFDP;11004923
Amira_M_Ali;11004823
Philipp_Amthor;11004656
MieruchMario;11004822
Schmidt_MdB;11004403
reuther_bernd;11004864
axel_knoerig;11004073
christophploss;11004854
MdB_Freihold;11004717
reinholdmdb;11000782
ChrWirthMdB;11004936
Martin_Sichert;11004892
JuergenBraunAfD;11004680
HartmutEbbing;11004706
JensMaierAfD;11001026
DrFriesenMdB;11004720
Th_Seitz_AfD;11004891
olafinderbeek;11004667
SteffenKotre;11004791
andreasbleckmdb;11004674
Brehm_inNBGNord;11004682
koehler_fdp;11004786
DrMEspendiller;11004711
BrunnerGanzOhr;11004256
Buettner_MdB;11004691
volker_munz;11004835
DanyWagner_DA;11004184
SchaeferCDU;11003216
carina_konrad;11004789
Martin_Hess_AfD;11004749
SybilleBenning;11004251
CorinnaMiazga;11004821
UliGroetsch;11004282
NKleinwaechter;11004781
S_Muenzenmaier;11002796
mvabercron;11004650
Meyer_FDP;11004820
sandra_weeser;11004929
JBrandenburgFDP;11004676
GustavHerzogMdB;11003148
AchimKesslerMdB;11004776
UdoHemmelgarn;11004743
GottfriedCurio;11004698
KlausMindrup;11004354
NinaScheer_SPD;11004396
h_weyel;11004932
RitaHaglKehl;11004287
Alice_Weidel;11004930
Rene_Springer;11004900
c_bernstiel;11004671
Oehmeulrich;11004843
VoepelDirk;11004433
WSchinnenburg;11004874
